PublicationYears,Count
2025,71
2024,506
2023,453
2022,473
2021,628
2020,538
2019,552
2018,554
2017,466
2016,497
2015,447
2014,384
2013,374
2012,296
2011,252
2010,277
2009,273
2008,287
2007,257
2006,247
2005,229
2004,217
2003,222
2002,210
2001,184
2000,175
1999,158
1998,125
1997,125
1996,129
1995,109
1994,121
1993,100
1992,85
1991,96
1990,70
1989,35
1988,51
1987,54
1986,43
1985,57
1984,58
1983,51
1982,53
1981,43
1980,45
1979,29
1978,38
1977,32
1976,30
1975,6
1974,12
1973,8
1972,7
1971,8
1970,5
1969,4
1968,6
1967,15
1966,21
1965,9
1964,5
1963,4
1962,9
1961,10
1960,5
1959,4
1958,5
1957,7
1956,5
1955,5
1954,3
1953,4
1952,3
1951,3
1950,3
1949,2
1948,2
1947,6
1946,3
1945,5
1944,2
1943,3
1942,3
1941,1
1940,2
1939,2
1938,1
1937,2
1936,3
1935,1
1934,2
1933,1
1932,1
1931,3
1930,2
1929,3
1926,2
