PublicationYears,Count
2025,67
2024,449
2023,318
2022,332
2021,310
2020,239
2019,275
2018,232
2017,265
2016,214
2015,219
2014,188
2013,187
2012,135
2011,151
2010,137
2009,98
2008,92
2007,92
2006,64
2005,68
2004,60
2003,44
2002,40
2001,48
2000,41
1999,35
1998,19
1997,30
1996,26
1995,14
1994,16
1993,11
1992,10
1991,16
1990,9
1989,10
1988,6
1987,9
1986,6
1985,8
1984,7
1983,5
1982,7
1981,3
1980,3
1979,2
1978,6
1977,3
1976,4
1973,1
1971,2
1966,1
1965,1
1964,1
1963,1
1945,1
1942,1
1941,1
1938,1
1927,1
1926,1
